Hotel_Name,Review,review_sentiments
Vivanta Royal Pune,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
Taj Suites Pune,Average experience overall.,Neutral
Westin Suites Pune,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Comfortable rooms and great location.,Positive
The Leela Inn Mumbai,Service was acceptable but nothing special.,Neutral
Vivanta Royal Pune,Comfortable rooms and great location.,Positive
Trident Grand Pune,Excellent service and clean rooms.,Positive
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
Trident Grand Pune,Rooms were dirty and staff was rude.,Negative
The Leela Inn Mumbai,Poor maintenance and slow service.,Negative
Trident Grand Pune,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Average experience overall.,Neutral
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
The Leela Inn Mumbai,Very disappointing experience.,Negative
Vivanta Suites Goa,Very disappointing experience.,Negative
Vivanta Royal Pune,Comfortable rooms and great location.,Positive
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
The Leela Inn Mumbai,Excellent service and clean rooms.,Positive
Trident Grand Pune,Very disappointing experience.,Negative
Westin Suites Pune,Service was acceptable but nothing special.,Neutral
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Decent hotel for a short stay.,Neutral
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Very disappointing experience.,Negative
Trident Grand Pune,Wonderful stay with friendly staff.,Positive
ITC Plaza Chennai,Rooms were dirty and staff was rude.,Negative
Taj Suites Pune,Wonderful stay with friendly staff.,Positive
The Leela Inn Mumbai,Stay was average and facilities were okay.,Neutral
Vivanta Suites Goa,Amazing hospitality and delicious breakfast.,Positive
Vivanta Royal Pune,Excellent service and clean rooms.,Positive
Taj Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Service was acceptable but nothing special.,Neutral
Westin Suites Pune,Service was acceptable but nothing special.,Neutral
Westin Suites Pune,Average experience overall.,Neutral
Trident Grand Pune,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Trident Grand Pune,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Poor maintenance and slow service.,Negative
Trident Grand Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Suites Goa,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Poor maintenance and slow service.,Negative
Westin Suites Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Amazing hospitality and delicious breakfast.,Positive
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
The Leela Inn Mumbai,Rooms were dirty and staff was rude.,Negative
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Service was acceptable but nothing special.,Neutral
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Taj Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Average experience overall.,Neutral
Westin Suites Pune,Wonderful stay with friendly staff.,Positive
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Very disappointing experience.,Negative
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
ITC Plaza Chennai,Very disappointing experience.,Negative
Vivanta Royal Pune,Very disappointing experience.,Negative
Taj Suites Pune,Decent hotel for a short stay.,Neutral
Vivanta Royal Pune,Service was acceptable but nothing special.,Neutral
Taj Suites Pune,Average experience overall.,Neutral
Vivanta Suites Goa,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Very disappointing experience.,Negative
Taj Suites Pune,Average experience overall.,Neutral
Fortune Resort Delhi,Stay was average and facilities were okay.,Neutral
Taj Suites Pune,Average experience overall.,Neutral
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Service was acceptable but nothing special.,Neutral
Trident Grand Pune,Poor maintenance and slow service.,Negative
Westin Suites Pune,Food quality was bad and rooms were noisy.,Negative
Fortune Resort Delhi,Decent hotel for a short stay.,Neutral
Vivanta Suites Goa,Decent hotel for a short stay.,Neutral
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Very disappointing experience.,Negative
ITC Plaza Chennai,Food quality was bad and rooms were noisy.,Negative
Trident Grand Pune,Poor maintenance and slow service.,Negative
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Wonderful stay with friendly staff.,Positive
Taj Suites Pune,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Decent hotel for a short stay.,Neutral
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Service was acceptable but nothing special.,Neutral
Vivanta Royal Pune,Excellent service and clean rooms.,Positive
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Taj Suites Pune,Very disappointing experience.,Negative
Taj Suites Pune,Decent hotel for a short stay.,Neutral
Westin Suites Pune,Poor maintenance and slow service.,Negative
Westin Suites Pune,Wonderful stay with friendly staff.,Positive
ITC Plaza Chennai,Stay was average and facilities were okay.,Neutral
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
Trident Grand Pune,Average experience overall.,Neutral
Trident Grand Pune,Rooms were dirty and staff was rude.,Negative
Westin Suites Pune,Comfortable rooms and great location.,Positive
Trident Grand Pune,Service was acceptable but nothing special.,Neutral
Fortune Resort Delhi,Rooms were dirty and staff was rude.,Negative
Vivanta Royal Pune,Wonderful stay with friendly staff.,Positive
Taj Suites Pune,Poor maintenance and slow service.,Negative
Trident Grand Pune,Average experience overall.,Neutral
Vivanta Royal Pune,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
Westin Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Excellent service and clean rooms.,Positive
Taj Suites Pune,Average experience overall.,Neutral
Fortune Resort Delhi,Food quality was bad and rooms were noisy.,Negative
Fortune Resort Delhi,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Decent hotel for a short stay.,Neutral
The Leela Inn Mumbai,Rooms were dirty and staff was rude.,Negative
Vivanta Suites Goa,Service was acceptable but nothing special.,Neutral
Taj Suites Pune,Wonderful stay with friendly staff.,Positive
Vivanta Royal Pune,Poor maintenance and slow service.,Negative
Westin Suites Pune,Service was acceptable but nothing special.,Neutral
Westin Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Decent hotel for a short stay.,Neutral
The Leela Inn Mumbai,Service was acceptable but nothing special.,Neutral
The Leela Inn Mumbai,Stay was average and facilities were okay.,Neutral
Taj Suites Pune,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Service was acceptable but nothing special.,Neutral
Vivanta Suites Goa,Comfortable rooms and great location.,Positive
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Westin Suites Pune,Rooms were dirty and staff was rude.,Negative
The Leela Inn Mumbai,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Rooms were dirty and staff was rude.,Negative
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Service was acceptable but nothing special.,Neutral
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
ITC Plaza Chennai,Decent hotel for a short stay.,Neutral
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
Fortune Resort Delhi,Wonderful stay with friendly staff.,Positive
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Rooms were dirty and staff was rude.,Negative
ITC Plaza Chennai,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Stay was average and facilities were okay.,Neutral
Taj Suites Pune,Wonderful stay with friendly staff.,Positive
Fortune Resort Delhi,Poor maintenance and slow service.,Negative
ITC Plaza Chennai,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Average experience overall.,Neutral
Vivanta Suites Goa,Average experience overall.,Neutral
Fortune Resort Delhi,Poor maintenance and slow service.,Negative
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Rooms were dirty and staff was rude.,Negative
Trident Grand Pune,Excellent service and clean rooms.,Positive
Westin Suites Pune,Rooms were dirty and staff was rude.,Negative
The Leela Inn Mumbai,Stay was average and facilities were okay.,Neutral
Westin Suites Pune,Rooms were dirty and staff was rude.,Negative
Taj Suites Pune,Amazing hospitality and delicious breakfast.,Positive
ITC Plaza Chennai,Comfortable rooms and great location.,Positive
Fortune Resort Delhi,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Poor maintenance and slow service.,Negative
Vivanta Suites Goa,Poor maintenance and slow service.,Negative
Vivanta Royal Pune,Very disappointing experience.,Negative
Westin Suites Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Royal Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
Taj Suites Pune,Average experience overall.,Neutral
ITC Plaza Chennai,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Stay was average and facilities were okay.,Neutral
ITC Plaza Chennai,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Very disappointing experience.,Negative
Vivanta Suites Goa,Service was acceptable but nothing special.,Neutral
The Leela Inn Mumbai,Very disappointing experience.,Negative
Westin Suites Pune,Very disappointing experience.,Negative
Taj Suites Pune,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Average experience overall.,Neutral
ITC Plaza Chennai,Rooms were dirty and staff was rude.,Negative
Vivanta Royal Pune,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Excellent service and clean rooms.,Positive
Trident Grand Pune,Comfortable rooms and great location.,Positive
The Leela Inn Mumbai,Very disappointing experience.,Negative
Trident Grand Pune,Rooms were dirty and staff was rude.,Negative
Westin Suites Pune,Rooms were dirty and staff was rude.,Negative
ITC Plaza Chennai,Poor maintenance and slow service.,Negative
Westin Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Rooms were dirty and staff was rude.,Negative
Trident Grand Pune,Service was acceptable but nothing special.,Neutral
Vivanta Royal Pune,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Amazing hospitality and delicious breakfast.,Positive
Westin Suites Pune,Comfortable rooms and great location.,Positive
Trident Grand Pune,Poor maintenance and slow service.,Negative
Westin Suites Pune,Comfortable rooms and great location.,Positive
Taj Suites Pune,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Wonderful stay with friendly staff.,Positive
ITC Plaza Chennai,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Average experience overall.,Neutral
Westin Suites Pune,Stay was average and facilities were okay.,Neutral
The Leela Inn Mumbai,Excellent service and clean rooms.,Positive
Westin Suites Pune,Excellent service and clean rooms.,Positive
Taj Suites Pune,Rooms were dirty and staff was rude.,Negative
Vivanta Suites Goa,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Poor maintenance and slow service.,Negative
Fortune Resort Delhi,Stay was average and facilities were okay.,Neutral
ITC Plaza Chennai,Rooms were dirty and staff was rude.,Negative
Trident Grand Pune,Very disappointing experience.,Negative
Taj Suites Pune,Comfortable rooms and great location.,Positive
Taj Suites Pune,Average experience overall.,Neutral
The Leela Inn Mumbai,Rooms were dirty and staff was rude.,Negative
Vivanta Suites Goa,Amazing hospitality and delicious breakfast.,Positive
ITC Plaza Chennai,Amazing hospitality and delicious breakfast.,Positive
Vivanta Suites Goa,Amazing hospitality and delicious breakfast.,Positive
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
Fortune Resort Delhi,Rooms were dirty and staff was rude.,Negative
Trident Grand Pune,Excellent service and clean rooms.,Positive
Vivanta Royal Pune,Poor maintenance and slow service.,Negative
Vivanta Suites Goa,Service was acceptable but nothing special.,Neutral
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Decent hotel for a short stay.,Neutral
Trident Grand Pune,Comfortable rooms and great location.,Positive
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
Westin Suites Pune,Average experience overall.,Neutral
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Stay was average and facilities were okay.,Neutral
Trident Grand Pune,Decent hotel for a short stay.,Neutral
Taj Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
Trident Grand Pune,Food quality was bad and rooms were noisy.,Negative
The Leela Inn Mumbai,Stay was average and facilities were okay.,Neutral
Vivanta Suites Goa,Amazing hospitality and delicious breakfast.,Positive
ITC Plaza Chennai,Stay was average and facilities were okay.,Neutral
Vivanta Suites Goa,Poor maintenance and slow service.,Negative
Trident Grand Pune,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Poor maintenance and slow service.,Negative
Vivanta Suites Goa,Very disappointing experience.,Negative
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
Trident Grand Pune,Stay was average and facilities were okay.,Neutral
Westin Suites Pune,Service was acceptable but nothing special.,Neutral
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
Trident Grand Pune,Food quality was bad and rooms were noisy.,Negative
Trident Grand Pune,Excellent service and clean rooms.,Positive
Trident Grand Pune,Very disappointing experience.,Negative
Vivanta Suites Goa,Very disappointing experience.,Negative
ITC Plaza Chennai,Comfortable rooms and great location.,Positive
ITC Plaza Chennai,Comfortable rooms and great location.,Positive
Westin Suites Pune,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
The Leela Inn Mumbai,Wonderful stay with friendly staff.,Positive
Taj Suites Pune,Comfortable rooms and great location.,Positive
Westin Suites Pune,Rooms were dirty and staff was rude.,Negative
Trident Grand Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Suites Goa,Wonderful stay with friendly staff.,Positive
ITC Plaza Chennai,Service was acceptable but nothing special.,Neutral
Trident Grand Pune,Decent hotel for a short stay.,Neutral
Westin Suites Pune,Very disappointing experience.,Negative
Vivanta Royal Pune,Average experience overall.,Neutral
Westin Suites Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Wonderful stay with friendly staff.,Positive
Fortune Resort Delhi,Service was acceptable but nothing special.,Neutral
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
ITC Plaza Chennai,Service was acceptable but nothing special.,Neutral
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Westin Suites Pune,Comfortable rooms and great location.,Positive
The Leela Inn Mumbai,Comfortable rooms and great location.,Positive
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Rooms were dirty and staff was rude.,Negative
Vivanta Royal Pune,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Decent hotel for a short stay.,Neutral
Vivanta Suites Goa,Comfortable rooms and great location.,Positive
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
The Leela Inn Mumbai,Excellent service and clean rooms.,Positive
Westin Suites Pune,Amazing hospitality and delicious breakfast.,Positive
Trident Grand Pune,Service was acceptable but nothing special.,Neutral
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
The Leela Inn Mumbai,Comfortable rooms and great location.,Positive
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
Westin Suites Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Trident Grand Pune,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Comfortable rooms and great location.,Positive
Westin Suites Pune,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Very disappointing experience.,Negative
The Leela Inn Mumbai,Very disappointing experience.,Negative
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
The Leela Inn Mumbai,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
ITC Plaza Chennai,Poor maintenance and slow service.,Negative
Westin Suites Pune,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Average experience overall.,Neutral
Fortune Resort Delhi,Food quality was bad and rooms were noisy.,Negative
Westin Suites Pune,Comfortable rooms and great location.,Positive
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
Trident Grand Pune,Comfortable rooms and great location.,Positive
Fortune Resort Delhi,Amazing hospitality and delicious breakfast.,Positive
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
Westin Suites Pune,Amazing hospitality and delicious breakfast.,Positive
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Suites Goa,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Rooms were dirty and staff was rude.,Negative
Vivanta Suites Goa,Rooms were dirty and staff was rude.,Negative
Fortune Resort Delhi,Service was acceptable but nothing special.,Neutral
ITC Plaza Chennai,Food quality was bad and rooms were noisy.,Negative
Vivanta Suites Goa,Food quality was bad and rooms were noisy.,Negative
Vivanta Royal Pune,Average experience overall.,Neutral
Westin Suites Pune,Wonderful stay with friendly staff.,Positive
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Very disappointing experience.,Negative
Vivanta Suites Goa,Comfortable rooms and great location.,Positive
Vivanta Royal Pune,Service was acceptable but nothing special.,Neutral
Westin Suites Pune,Average experience overall.,Neutral
The Leela Inn Mumbai,Comfortable rooms and great location.,Positive
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
Fortune Resort Delhi,Service was acceptable but nothing special.,Neutral
Vivanta Suites Goa,Very disappointing experience.,Negative
ITC Plaza Chennai,Wonderful stay with friendly staff.,Positive
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
Westin Suites Pune,Average experience overall.,Neutral
Vivanta Suites Goa,Very disappointing experience.,Negative
Vivanta Suites Goa,Stay was average and facilities were okay.,Neutral
Taj Suites Pune,Decent hotel for a short stay.,Neutral
Westin Suites Pune,Excellent service and clean rooms.,Positive
Westin Suites Pune,Comfortable rooms and great location.,Positive
Trident Grand Pune,Average experience overall.,Neutral
Fortune Resort Delhi,Average experience overall.,Neutral
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Taj Suites Pune,Excellent service and clean rooms.,Positive
Westin Suites Pune,Wonderful stay with friendly staff.,Positive
ITC Plaza Chennai,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Wonderful stay with friendly staff.,Positive
Fortune Resort Delhi,Stay was average and facilities were okay.,Neutral
ITC Plaza Chennai,Amazing hospitality and delicious breakfast.,Positive
Vivanta Royal Pune,Wonderful stay with friendly staff.,Positive
Taj Suites Pune,Very disappointing experience.,Negative
The Leela Inn Mumbai,Comfortable rooms and great location.,Positive
Vivanta Suites Goa,Very disappointing experience.,Negative
Vivanta Royal Pune,Excellent service and clean rooms.,Positive
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
ITC Plaza Chennai,Service was acceptable but nothing special.,Neutral
Trident Grand Pune,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
Vivanta Royal Pune,Wonderful stay with friendly staff.,Positive
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
The Leela Inn Mumbai,Average experience overall.,Neutral
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Taj Suites Pune,Average experience overall.,Neutral
Trident Grand Pune,Excellent service and clean rooms.,Positive
Taj Suites Pune,Very disappointing experience.,Negative
Trident Grand Pune,Stay was average and facilities were okay.,Neutral
Vivanta Suites Goa,Very disappointing experience.,Negative
Trident Grand Pune,Comfortable rooms and great location.,Positive
Trident Grand Pune,Wonderful stay with friendly staff.,Positive
Trident Grand Pune,Service was acceptable but nothing special.,Neutral
Trident Grand Pune,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
ITC Plaza Chennai,Wonderful stay with friendly staff.,Positive
Vivanta Suites Goa,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Service was acceptable but nothing special.,Neutral
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
Vivanta Royal Pune,Amazing hospitality and delicious breakfast.,Positive
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Poor maintenance and slow service.,Negative
Taj Suites Pune,Poor maintenance and slow service.,Negative
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
Taj Suites Pune,Amazing hospitality and delicious breakfast.,Positive
The Leela Inn Mumbai,Wonderful stay with friendly staff.,Positive
Westin Suites Pune,Comfortable rooms and great location.,Positive
ITC Plaza Chennai,Decent hotel for a short stay.,Neutral
Taj Suites Pune,Comfortable rooms and great location.,Positive
Vivanta Suites Goa,Very disappointing experience.,Negative
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
Westin Suites Pune,Excellent service and clean rooms.,Positive
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Average experience overall.,Neutral
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
ITC Plaza Chennai,Very disappointing experience.,Negative
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Taj Suites Pune,Very disappointing experience.,Negative
Fortune Resort Delhi,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
ITC Plaza Chennai,Comfortable rooms and great location.,Positive
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Royal Pune,Excellent service and clean rooms.,Positive
Taj Suites Pune,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Stay was average and facilities were okay.,Neutral
Westin Suites Pune,Comfortable rooms and great location.,Positive
Westin Suites Pune,Excellent service and clean rooms.,Positive
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Trident Grand Pune,Service was acceptable but nothing special.,Neutral
Trident Grand Pune,Stay was average and facilities were okay.,Neutral
ITC Plaza Chennai,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Stay was average and facilities were okay.,Neutral
Westin Suites Pune,Average experience overall.,Neutral
The Leela Inn Mumbai,Poor maintenance and slow service.,Negative
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Taj Suites Pune,Service was acceptable but nothing special.,Neutral
The Leela Inn Mumbai,Service was acceptable but nothing special.,Neutral
Vivanta Royal Pune,Food quality was bad and rooms were noisy.,Negative
ITC Plaza Chennai,Poor maintenance and slow service.,Negative
Trident Grand Pune,Average experience overall.,Neutral
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
Vivanta Royal Pune,Decent hotel for a short stay.,Neutral
Vivanta Suites Goa,Food quality was bad and rooms were noisy.,Negative
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Suites Goa,Average experience overall.,Neutral
The Leela Inn Mumbai,Food quality was bad and rooms were noisy.,Negative
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Westin Suites Pune,Comfortable rooms and great location.,Positive
Vivanta Royal Pune,Poor maintenance and slow service.,Negative
The Leela Inn Mumbai,Amazing hospitality and delicious breakfast.,Positive
ITC Plaza Chennai,Food quality was bad and rooms were noisy.,Negative
Fortune Resort Delhi,Poor maintenance and slow service.,Negative
Westin Suites Pune,Decent hotel for a short stay.,Neutral
Vivanta Suites Goa,Average experience overall.,Neutral
Vivanta Royal Pune,Rooms were dirty and staff was rude.,Negative
Taj Suites Pune,Decent hotel for a short stay.,Neutral
Fortune Resort Delhi,Wonderful stay with friendly staff.,Positive
The Leela Inn Mumbai,Average experience overall.,Neutral
Taj Suites Pune,Food quality was bad and rooms were noisy.,Negative
Vivanta Royal Pune,Service was acceptable but nothing special.,Neutral
Taj Suites Pune,Comfortable rooms and great location.,Positive
Vivanta Suites Goa,Comfortable rooms and great location.,Positive
Taj Suites Pune,Excellent service and clean rooms.,Positive
Taj Suites Pune,Poor maintenance and slow service.,Negative
