Hotel_Name,City,  Price  ,Rating,Amenities
Grand Hyatt Elite Pune,Pune,11776.7,4,"Airport Shuttle, Pool, Bar, Gym, Restaurant, Spa, Conference Hall"
Fairmont Elite Goa,Goa,11984.3,3.9,"Airport Shuttle, Bar, Parking, Gym, Pool, Wifi, Conference Hall"
Courtyard Heights Delhi,Delhi,12191.9,4.4,"Restaurant, Wifi, Airport Shuttle, Bar, Gym, Pool, Spa"
Radisson Blu Inn Hyderabad,Hyderabad,12399.5,3.9,"Conference Hall, Wifi, Spa, Breakfast, Pool, Airport Shuttle"
Conrad Suites Kolkata,Kolkata,12607.1,4.2,"Airport Shuttle, Wifi, Pool, Gym, Breakfast, Spa, Restaurant"
Westin Resort Ahmedabad,Ahmedabad,12814.7,4.3,"Bar, Conference Hall, Restaurant, Gym, Airport Shuttle, Spa"
Vivanta Inn Bengaluru,Bengaluru,13022.3,3.7,"Restaurant, Pool, Gym, Conference Hall, Bar"
Conrad Royal Bengaluru,Bengaluru,13229.9,4.3,"Pool, Spa, Parking, Breakfast, Gym, Bar"
Westin Elite Mumbai,Mumbai,13437.5,3.9,"Conference Hall, Parking, Gym, Restaurant"
Conrad Palace Pune,Pune,13645.1,3.9,"Airport Shuttle, Restaurant, Gym, Wifi, Breakfast, Spa, Bar"
ITC Heights Chennai,Chennai,13852.7,4.4,"Gym, Breakfast, Parking, Wifi"
Novotel Elite Pune,Pune,14060.3,4.1,"Conference Hall, Bar, Airport Shuttle, Spa, Gym"
Oberoi Inn Chennai,Chennai,14267.9,4.4,"Spa, Breakfast, Parking, Restaurant"
ITC Suites Goa,Goa,14475.5,4.3,"Wifi, Bar, Airport Shuttle, Restaurant, Parking"
Conrad Palace Bengaluru,Bengaluru,14683.1,3.9,"Airport Shuttle, Pool, Spa, Gym, Restaurant, Parking"
Radisson Blu Grand Chennai,Chennai,14890.7,3.8,"Parking, Gym, Pool, Wifi, Airport Shuttle"
Westin Royal Ahmedabad,Ahmedabad,15098.3,3.9,"Airport Shuttle, Parking, Bar, Gym"
Ramada Heights Kolkata,Kolkata,15305.9,3.6,"Bar, Restaurant, Parking, Wifi"
ITC Royal Delhi,Delhi,15513.5,4.9,"Breakfast, Wifi, Gym, Spa, Parking, Bar"
Vivanta Royal Goa,Goa,15721.1,4.5,"Pool, Airport Shuttle, Restaurant, Spa, Gym, Conference Hall, Wifi"
Hyatt Plaza Hyderabad,Hyderabad,15928.7,4.2,"Conference Hall, Wifi, Airport Shuttle, Breakfast, Gym, Restaurant, Parking"
The Leela Elite Chennai,Chennai,16136.3,5,"Bar, Wifi, Spa, Parking, Gym, Breakfast, Airport Shuttle"
Courtyard Suites Mumbai,Mumbai,16343.9,4.3,"Airport Shuttle, Breakfast, Pool, Wifi, Restaurant, Parking"
Novotel Inn Goa,Goa,16551.5,3.5,"Pool, Spa, Breakfast, Conference Hall, Wifi, Airport Shuttle, Bar"
Westin Inn Kolkata,Kolkata,16759.1,4.8,"Spa, Airport Shuttle, Gym, Breakfast, Pool, Parking, Restaurant"
ITC Plaza Bengaluru,Bengaluru,16966.7,4.9,"Wifi, Parking, Conference Hall, Bar, Airport Shuttle, Restaurant"
Conrad Heights Goa,Goa,17174.3,4.2,"Conference Hall, Breakfast, Bar, Spa, Gym, Pool"
Novotel Plaza Ahmedabad,Ahmedabad,17381.9,4.8,"Wifi, Restaurant, Airport Shuttle, Conference Hall, Spa, Bar, Pool"
Conrad Residency Mumbai,Mumbai,17589.5,4.9,"Pool, Airport Shuttle, Breakfast, Parking, Spa, Wifi"
JW Marriott Residency Chennai,Chennai,17797.1,4.2,"Restaurant, Bar, Pool, Conference Hall, Gym, Parking"
Holiday Inn Heights Hyderabad,Hyderabad,18004.7,4.3,"Spa, Parking, Breakfast, Restaurant"
ITC Grand Chennai,Chennai,18212.3,4.5,"Airport Shuttle, Gym, Parking, Wifi"
The Orchid Palace Hyderabad,Hyderabad,18419.9,4,"Gym, Spa, Bar, Parking, Restaurant, Pool, Airport Shuttle"
Hyatt Royal Pune,Pune,18627.5,4.1,"Airport Shuttle, Gym, Spa, Breakfast, Restaurant"
Vivanta Inn Jaipur,Jaipur,18835.1,3.5,"Parking, Conference Hall, Gym, Wifi, Spa, Airport Shuttle, Breakfast"
Fairmont Heights Bengaluru,Bengaluru,19042.7,4,"Airport Shuttle, Pool, Spa, Breakfast, Parking, Gym, Restaurant"
Westin Plaza Mumbai,Mumbai,19250.3,3.5,"Breakfast, Airport Shuttle, Parking, Bar"
Novotel Resort Ahmedabad,Ahmedabad,19457.9,4.5,"Gym, Pool, Wifi, Breakfast, Spa, Airport Shuttle"
Oberoi Residency Hyderabad,Hyderabad,19665.5,4.9,"Bar, Gym, Spa, Pool, Parking, Conference Hall"
Ramada Inn Kolkata,Kolkata,19873.1,3.7,"Parking, Restaurant, Pool, Spa, Wifi, Airport Shuttle, Breakfast"
Holiday Inn Resort Kolkata,Kolkata,20080.7,4.7,"Parking, Conference Hall, Pool, Spa"
Grand Hyatt Royal Bengaluru,Bengaluru,20288.3,4.7,"Pool, Spa, Airport Shuttle, Wifi, Parking, Restaurant"
Trident Suites Ahmedabad,Ahmedabad,20495.9,3.6,"Parking, Bar, Pool, Airport Shuttle, Wifi, Restaurant, Gym"
Conrad Grand Pune,Pune,20703.5,4.8,"Bar, Airport Shuttle, Restaurant, Conference Hall, Breakfast"
Fortune Royal Chennai,Chennai,20911.1,4.6,"Pool, Airport Shuttle, Bar, Gym, Wifi, Conference Hall, Breakfast"
Courtyard Suites Jaipur,Jaipur,21118.7,4,"Conference Hall, Restaurant, Wifi, Spa, Gym, Pool"
The Leela Grand Jaipur,Jaipur,21326.3,3.8,"Wifi, Restaurant, Spa, Pool"
Oberoi Grand Delhi,Delhi,21533.9,4.6,"Breakfast, Spa, Conference Hall, Gym, Pool"
Shangri-La Inn Mumbai,Mumbai,21741.5,5,"Conference Hall, Parking, Gym, Wifi, Restaurant"
Taj Palace Goa,Goa,21949.1,4.7,"Breakfast, Restaurant, Wifi, Pool, Gym"
The Orchid Plaza Goa,Goa,22156.7,3.7,"Airport Shuttle, Breakfast, Restaurant, Parking"
Oberoi Heights Pune,Pune,22364.3,3.8,"Conference Hall, Parking, Airport Shuttle, Restaurant"
Taj Heights Mumbai,Mumbai,22571.9,4.1,"Airport Shuttle, Breakfast, Pool, Wifi"
Trident Residency Ahmedabad,Ahmedabad,22779.5,3.7,"Bar, Conference Hall, Parking, Spa, Airport Shuttle, Restaurant"
Fairmont Grand Pune,Pune,22987.1,4.5,"Bar, Airport Shuttle, Spa, Conference Hall, Gym"
Courtyard Plaza Chennai,Chennai,23194.7,3.6,"Restaurant, Parking, Breakfast, Pool, Airport Shuttle, Spa, Wifi"
ITC Grand Pune,Pune,23402.3,3.6,"Gym, Conference Hall, Wifi, Parking, Bar, Restaurant"
Trident Plaza Pune,Pune,23609.9,4.8,"Wifi, Parking, Conference Hall, Gym, Breakfast, Airport Shuttle, Pool"
JW Marriott Suites Jaipur,Jaipur,23817.5,3.7,"Pool, Parking, Spa, Bar, Airport Shuttle, Conference Hall"
Shangri-La Elite Ahmedabad,Ahmedabad,24025.1,4.4,"Wifi, Gym, Parking, Restaurant, Conference Hall, Bar"
Grand Hyatt Residency Mumbai,Mumbai,24232.7,3.7,"Pool, Gym, Wifi, Airport Shuttle, Restaurant, Parking, Breakfast"
Holiday Inn Heights Chennai,Chennai,24440.3,3.7,"Restaurant, Pool, Wifi, Conference Hall, Bar, Parking"
The Orchid Inn Pune,Pune,24647.9,4.5,"Breakfast, Airport Shuttle, Bar, Gym, Pool, Parking, Wifi"
Grand Hyatt Grand Chennai,Chennai,24855.5,4.5,"Conference Hall, Parking, Wifi, Pool, Spa, Breakfast, Airport Shuttle"
Taj Inn Delhi,Delhi,25063.1,3.8,"Parking, Breakfast, Restaurant, Wifi, Bar"
Conrad Residency Chennai,Chennai,25270.7,4.1,"Conference Hall, Breakfast, Restaurant, Wifi, Spa"
The Orchid Palace Chennai,Chennai,25478.3,4.9,"Breakfast, Bar, Conference Hall, Restaurant, Airport Shuttle, Spa"
Westin Plaza Pune,Pune,25685.9,4.9,"Breakfast, Airport Shuttle, Restaurant, Wifi, Spa"
The Leela Plaza Delhi,Delhi,25893.5,4.1,"Bar, Parking, Restaurant, Pool"
Trident Grand Goa,Goa,26101.1,4.4,"Restaurant, Breakfast, Gym, Pool, Wifi"
JW Marriott Suites Bengaluru,Bengaluru,26308.7,4.4,"Gym, Airport Shuttle, Conference Hall, Bar"
Oberoi Heights Ahmedabad,Ahmedabad,26516.3,4.9,"Restaurant, Gym, Airport Shuttle, Wifi, Spa, Breakfast"
Westin Royal Bengaluru,Bengaluru,26723.9,4,"Parking, Airport Shuttle, Conference Hall, Wifi"
The Orchid Inn Hyderabad,Hyderabad,26931.5,4.5,"Breakfast, Conference Hall, Bar, Spa"
Oberoi Palace Kolkata,Kolkata,27139.1,4.9,"Restaurant, Airport Shuttle, Gym, Wifi, Spa"
The Leela Grand Hyderabad,Hyderabad,27346.7,4.5,"Spa, Airport Shuttle, Conference Hall, Parking"
Ramada Residency Ahmedabad,Ahmedabad,27554.3,4.1,"Bar, Breakfast, Restaurant, Airport Shuttle, Parking, Wifi"
Trident Resort Pune,Pune,27761.9,4.3,"Parking, Breakfast, Gym, Airport Shuttle, Wifi, Conference Hall, Pool"
Grand Hyatt Plaza Bengaluru,Bengaluru,27969.5,4.4,"Parking, Conference Hall, Bar, Restaurant"
Trident Elite Goa,Goa,28177.1,4.5,"Conference Hall, Restaurant, Wifi, Gym, Bar, Pool, Parking"
Trident Suites Jaipur,Jaipur,28384.7,5,"Pool, Parking, Breakfast, Conference Hall, Bar"
Ramada Resort Mumbai,Mumbai,28592.3,4.6,"Breakfast, Bar, Gym, Pool, Conference Hall"
Shangri-La Heights Goa,Goa,28799.9,4.1,"Airport Shuttle, Parking, Breakfast, Pool, Conference Hall"
Novotel Heights Bengaluru,Bengaluru,29007.5,4.8,"Breakfast, Airport Shuttle, Conference Hall, Bar, Gym, Spa"
Ramada Plaza Kolkata,Kolkata,29215.1,4.7,"Parking, Wifi, Airport Shuttle, Bar, Gym"
Fortune Elite Pune,Pune,29422.7,3.7,"Gym, Parking, Airport Shuttle, Conference Hall"
JW Marriott Grand Chennai,Chennai,29630.3,3.8,"Restaurant, Wifi, Bar, Conference Hall, Spa, Parking, Gym"
Novotel Grand Chennai,Chennai,29837.9,3.8,"Pool, Restaurant, Gym, Breakfast, Wifi, Airport Shuttle"
Conrad Heights Goa,Goa,30045.5,4.4,"Wifi, Parking, Spa, Bar"
JW Marriott Royal Kolkata,Kolkata,30253.1,4.1,"Spa, Parking, Pool, Wifi, Airport Shuttle, Breakfast"
Shangri-La Grand Jaipur,Jaipur,30460.7,4.8,"Breakfast, Conference Hall, Wifi, Restaurant, Parking, Bar, Pool"
JW Marriott Plaza Bengaluru,Bengaluru,30668.3,4.4,"Breakfast, Bar, Gym, Restaurant, Conference Hall"
ITC Resort Kolkata,Kolkata,30875.9,4.9,"Bar, Airport Shuttle, Wifi, Restaurant"
Holiday Inn Inn Hyderabad,Hyderabad,31083.5,3.5,"Restaurant, Spa, Pool, Bar"
Oberoi Residency Hyderabad,Hyderabad,31291.1,4,"Gym, Airport Shuttle, Conference Hall, Restaurant, Pool, Bar"
ITC Palace Jaipur,Jaipur,31498.7,3.8,"Wifi, Restaurant, Parking, Airport Shuttle, Spa"
Fortune Inn Jaipur,Jaipur,31706.3,4.6,"Parking, Restaurant, Wifi, Bar, Conference Hall"
Trident Grand Bengaluru,Bengaluru,31913.9,4.1,"Airport Shuttle, Bar, Restaurant, Pool, Spa, Breakfast, Gym"
Ramada Grand Bengaluru,Bengaluru,32121.5,4.1,"Breakfast, Gym, Parking, Conference Hall, Wifi, Restaurant, Bar"
Westin Heights Bengaluru,Bengaluru,4563,4.6,"Airport Shuttle, Restaurant, Breakfast, Wifi, Conference Hall"
Grand Hyatt Plaza Ahmedabad,Ahmedabad,7845,4.5,"Pool, Bar, Restaurant, Parking"
Hyatt Residency Mumbai,Mumbai,8965,4.4,"Wifi, Gym, Pool, Airport Shuttle, Restaurant, Conference Hall, Parking"
Holiday Inn Palace Ahmedabad,Ahmedabad,11526.33,3.7,"Restaurant, Breakfast, Airport Shuttle, Bar, Wifi, Parking, Pool"
Ramada Plaza Hyderabad,Hyderabad,13727.33,4.5,"Pool, Wifi, Gym, Spa, Parking"
Holiday Inn Grand Kolkata,Kolkata,15928.33,4.7,"Spa, Parking, Airport Shuttle, Pool, Wifi, Bar, Restaurant"
Courtyard Heights Goa,Goa,18129.33,4.7,"Restaurant, Pool, Parking, Gym, Conference Hall, Breakfast"
Grand Hyatt Suites Kolkata,Kolkata,20330.33,5,"Spa, Airport Shuttle, Wifi, Gym, Parking"
Oberoi Heights Hyderabad,Hyderabad,22531.33,5,"Breakfast, Pool, Conference Hall, Gym, Spa"
Conrad Plaza Kolkata,Kolkata,24732.33,4.1,"Gym, Restaurant, Pool, Spa"
Courtyard Resort Kolkata,Kolkata,26933.33,4.8,"Gym, Bar, Wifi, Conference Hall, Airport Shuttle"
Ramada Inn Goa,Goa,29134.33,3.7,"Restaurant, Conference Hall, Parking, Bar, Wifi"
Vivanta Elite Delhi,Delhi,31335.33,3.7,"Breakfast, Conference Hall, Pool, Parking, Restaurant, Airport Shuttle"
Oberoi Residency Ahmedabad,Ahmedabad,33536.33,4.5,"Breakfast, Wifi, Conference Hall, Airport Shuttle, Bar, Parking"
Vivanta Royal Delhi,Delhi,35737.33,4.4,"Airport Shuttle, Conference Hall, Parking, Restaurant"
Westin Suites Jaipur,Jaipur,37938.33,4.7,"Parking, Airport Shuttle, Pool, Restaurant, Wifi, Conference Hall, Spa"
Fairmont Heights Jaipur,Jaipur,40139.33,4,"Restaurant, Breakfast, Conference Hall, Spa, Pool"
Grand Hyatt Elite Kolkata,Kolkata,42340.33,4,"Pool, Parking, Airport Shuttle, Breakfast, Bar, Wifi, Conference Hall"
Westin Royal Chennai,Chennai,44541.33,3.9,"Restaurant, Breakfast, Spa, Bar, Pool"
Conrad Heights Kolkata,Kolkata,46742.33,4.8,"Wifi, Pool, Bar, Parking, Spa, Conference Hall, Airport Shuttle"
Oberoi Palace Hyderabad,Hyderabad,48943.33,3.9,"Parking, Conference Hall, Wifi, Bar, Airport Shuttle, Spa, Pool"
Vivanta Plaza Hyderabad,Hyderabad,24522,3.6,"Breakfast, Conference Hall, Spa, Gym"
Fortune Grand Bengaluru,Bengaluru,25000,4.3,"Breakfast, Pool, Gym, Wifi, Spa, Airport Shuttle"
Trident Resort Kolkata,Kolkata,4512,3.7,"Conference Hall, Wifi, Breakfast, Airport Shuttle, Pool, Gym, Spa"
Ramada Residency Jaipur,Jaipur,1254,4.8,"Restaurant, Breakfast, Gym, Spa, Parking"
Westin Resort Ahmedabad,Ahmedabad,5896,4.7,"Breakfast, Parking, Airport Shuttle, Bar, Wifi, Gym, Conference Hall"
The Leela Royal Chennai,Chennai,6854,4.7,"Breakfast, Airport Shuttle, Parking, Restaurant"
Oberoi Suites Ahmedabad,Ahmedabad,5896,3.6,"Gym, Conference Hall, Bar, Pool, Restaurant, Airport Shuttle, Wifi"
Oberoi Suites Pune,Pune,5478,4.2,"Gym, Bar, Spa, Airport Shuttle, Parking, Restaurant, Conference Hall"
The Orchid Elite Goa,Goa,8968,4.3,"Conference Hall, Bar, Restaurant, Pool, Spa, Parking, Gym"
Fortune Inn Hyderabad,Hyderabad,8574,4.2,"Parking, Conference Hall, Breakfast, Pool, Gym"
Westin Heights Delhi,Delhi,4523,4.2,"Parking, Pool, Bar, Spa, Gym, Conference Hall"
Westin Inn Mumbai,Mumbai,5789,3.6,"Parking, Airport Shuttle, Spa, Pool, Breakfast, Gym, Restaurant"
JW Marriott Royal Pune,Pune,6584,4.4,"Wifi, Conference Hall, Spa, Restaurant, Pool"
The Orchid Plaza Pune,Pune,5466,4.6,"Gym, Wifi, Breakfast, Spa"
Conrad Suites Jaipur,Jaipur,7895,4.9,"Parking, Wifi, Pool, Restaurant, Breakfast, Airport Shuttle"
Fortune Residency Mumbai,Mumbai,5666,4.8,"Wifi, Bar, Airport Shuttle, Pool, Restaurant"
Westin Palace Mumbai,Mumbai,7890,4.4,"Restaurant, Parking, Airport Shuttle, Breakfast"
Fortune Heights Kolkata,Kolkata,15000,4.9,"Parking, Spa, Pool, Gym, Airport Shuttle, Conference Hall, Bar"
Hyatt Resort Mumbai,Mumbai,1400,3.9,"Gym, Bar, Conference Hall, Parking, Breakfast"
ITC Grand Chennai,Chennai,14500,5,"Restaurant, Spa, Wifi, Gym, Conference Hall, Pool, Breakfast"
Vivanta Inn Hyderabad,Hyderabad,45000,4.6,"Parking, Restaurant, Spa, Wifi"
The Leela Inn Jaipur,Jaipur,47000,4.1,"Pool, Parking, Restaurant, Conference Hall, Breakfast, Airport Shuttle"
JW Marriott Residency Jaipur,Jaipur,21000,4.6,"Bar, Conference Hall, Airport Shuttle, Breakfast, Parking, Pool"
Novotel Grand Ahmedabad,Ahmedabad,1000,4.2,"Pool, Breakfast, Wifi, Bar, Parking, Restaurant"
Radisson Blu Elite Ahmedabad,Ahmedabad,12000,3.7,"Pool, Spa, Airport Shuttle, Wifi, Parking, Conference Hall, Bar"
Courtyard Elite Goa,Goa,1200,4.2,"Conference Hall, Airport Shuttle, Parking, Restaurant"
Taj Inn Chennai,Chennai,1140,3.5,"Breakfast, Pool, Wifi, Spa, Gym"
ITC Palace Kolkata,Kolkata,1254,4.8,"Wifi, Parking, Bar, Pool, Airport Shuttle, Spa, Gym"
Holiday Inn Plaza Jaipur,Jaipur,1452,3.6,"Restaurant, Pool, Gym, Parking, Spa"
Ramada Suites Goa,Goa,114973.33,3.5,"Parking, Airport Shuttle, Bar, Breakfast"
Holiday Inn Suites Delhi,Delhi,117174.33,4,"Spa, Pool, Wifi, Bar, Restaurant, Breakfast"
Shangri-La Suites Mumbai,Mumbai,119375.33,3.6,"Airport Shuttle, Wifi, Spa, Restaurant"
The Orchid Heights Chennai,Chennai,121576.33,4.3,"Gym, Conference Hall, Parking, Pool"
Oberoi Royal Hyderabad,Hyderabad,123777.33,4.7,"Spa, Parking, Gym, Restaurant, Conference Hall, Pool"
Fairmont Inn Bengaluru,Bengaluru,125978.33,4.3,"Bar, Conference Hall, Airport Shuttle, Wifi, Gym"
Holiday Inn Resort Kolkata,Kolkata,128179.33,4.1,"Parking, Bar, Gym, Conference Hall, Breakfast"
Conrad Suites Delhi,Delhi,130380.33,4.8,"Airport Shuttle, Wifi, Bar, Spa, Parking"
Ramada Plaza Goa,Goa,132581.33,3.9,"Pool, Airport Shuttle, Restaurant, Wifi, Parking, Breakfast"
The Orchid Plaza Bengaluru,Bengaluru,134782.33,4.4,"Pool, Spa, Conference Hall, Airport Shuttle"
Radisson Blu Inn Hyderabad,Hyderabad,136983.33,3.5,"Pool, Airport Shuttle, Spa, Restaurant, Parking"
Radisson Blu Suites Chennai,Chennai,139184.33,4,"Bar, Airport Shuttle, Restaurant, Gym, Breakfast, Conference Hall"
Ramada Heights Jaipur,Jaipur,141385.33,4.7,"Restaurant, Spa, Breakfast, Gym, Conference Hall, Wifi, Pool"
JW Marriott Inn Mumbai,Mumbai,143586.33,4.9,"Parking, Gym, Spa, Conference Hall, Pool, Airport Shuttle, Restaurant"
Conrad Resort Kolkata,Kolkata,145787.33,4.6,"Airport Shuttle, Breakfast, Gym, Restaurant, Conference Hall, Pool, Parking"
Fortune Residency Jaipur,Jaipur,147988.33,4.8,"Conference Hall, Wifi, Pool, Bar"
The Orchid Plaza Mumbai,Mumbai,150189.33,4.8,"Pool, Gym, Wifi, Breakfast, Parking"
Courtyard Palace Hyderabad,Hyderabad,152390.33,4.5,"Airport Shuttle, Wifi, Conference Hall, Parking, Bar, Spa, Breakfast"
Taj Inn Kolkata,Kolkata,154591.33,5,"Conference Hall, Bar, Gym, Wifi"
The Leela Residency Kolkata,Kolkata,156792.33,3.8,"Restaurant, Parking, Bar, Wifi, Gym, Spa"
Courtyard Suites Ahmedabad,Ahmedabad,158993.33,3.8,"Wifi, Pool, Bar, Spa"
Holiday Inn Heights Kolkata,Kolkata,161194.33,4.5,"Pool, Airport Shuttle, Bar, Restaurant, Gym"
Oberoi Elite Pune,Pune,163395.33,3.6,"Breakfast, Airport Shuttle, Parking, Wifi, Bar"
Vivanta Royal Kolkata,Kolkata,165596.33,3.5,"Wifi, Spa, Gym, Bar, Restaurant, Conference Hall"
ITC Residency Bengaluru,Bengaluru,167797.33,3.9,"Conference Hall, Restaurant, Bar, Airport Shuttle, Breakfast, Pool, Wifi"
Ramada Palace Hyderabad,Hyderabad,169998.33,4.2,"Restaurant, Bar, Breakfast, Wifi"
